,collectionCode,thingType,tenant,index,entity_key_name,hash
183,/CENT/ENCODETAGSCONFIGURATION,ENCODETAGSCONFIGURATION,CENT,127,2ceedb0719fc1a4b2b946d9d2b59aa62,hash
184,/MOJIXD/STARFLEXTAGIT,STARFLEXTAGIT,MOJIXD,810,2d88676b8a597769bce9ab838024cad7,hash
185,/MOJIXB/ITEMSTATUSESLIFECYCLE,ITEMSTATUSESLIFECYCLE,MOJIXB,705,2d8a9df358eee2b9bea48720e8fb5564,hash
186,/MOJIXB/TRANSFERS,TRANSFERS,MOJIXB,693,2d9d4b34af457bdc2fcd4cf0636fc178,hash
187,/MOJIX/BIZSTEP,BIZSTEP,MOJIX,594,2dc53e3c5dd930dc1b82e84e0d2aebd0,hash
188,/MOJIXD/EPCSEQUENCETHING,EPCSEQUENCETHING,MOJIXD,773,2e22a3ce29fae973df3003dafaf739c0,hash
189,/MOJIX/PRODUCT,PRODUCT,MOJIX,623,2ea37a4fd62709ff7b636278b3c32469,hash
190,/FISIA/LOCATION,LOCATION,FISIA,516,2f8054fdb6a2e07ba83f093664ef637e,hash
191,/FALACO/SOHSTREAM,SOHSTREAM,FALACO,403,2f8dc5b1208713f78251a328d14f2b37,hash
192,/PERN/APPPARAMETERSCONFIGURATION,APPPARAMETERSCONFIGURATION,PERN,1003,2f98b19996533963ccff56c7399b304d,hash
193,/IKEA/SETTINGEXTENDED,SETTINGEXTENDED,IKEA,576,2fb665a5106dc0ce80772230ac6c94ae,hash
194,/BEWI/DISCREPANCY,DISCREPANCY,BEWI,13,2fb9ddf60b8b437ec6d51118bf1579b8,hash
195,/PE/REFERENCELIST,REFERENCELIST,PE,902,2fcfd42b6660cb4819f736188b73c62f,hash
196,/CSU/STOCK,STOCK,CSU,260,2fd4c2e6e3fd30dc9b4a03843775a7c8,hash
197,/CENT/FINDITEMCONFIGURATION,FINDITEMCONFIGURATION,CENT,128,3081e4a008f8b2597f010b1a39cc0aa3,hash
198,/CENT/PRINTER,PRINTER,CENT,148,309109bf2c1e6d5689f70caa2df14f37,hash
199,/MOJIXQA/ITEM,ITEM,MOJIXQA,820,30bb36378ff8c5d08947f2843b2ae528,hash
200,/MOJIXC/SOH,SOH,MOJIXC,719,30f6ff644124ec3e404fba01d5a19a6d,hash
201,/MOJIXD/DEFECT,DEFECT,MOJIXD,815,319f123326abb89ff93b90543553ae0b,hash
202,/TOSCA/BIZSTEP,BIZSTEP,TOSCA,1107,31a9335cab2f7914728d34116a8d1412,hash
203,/MOJIXB/TAGCOMMISSIONAPPCONFIG,TAGCOMMISSIONAPPCONFIG,MOJIXB,703,31d425901e7e45ff77402d0676db8536,hash
204,/FALABELLAPE/STOREATTRIBUTES,STOREATTRIBUTES,FALABELLAPE,340,324878febe61f2ebfbd2cacaff9e9dce,hash
205,/PE/SETTING,SETTING,PE,908,32881e6643e863cdbd58552431b4bb84,hash
206,/TOSCA/DD_SORTORDER,DD_SORTORDER,TOSCA,1094,32be45504a9674957216afebd937d378,hash
207,/MOJIXB/REFERENCELIST,REFERENCELIST,MOJIXB,690,32e78db2f6051a2f85f55bd6160aac70,hash
208,/IKEA/WEBVIEW_UPDATEINVENTORY,WEBVIEW_UPDATEINVENTORY,IKEA,561,330c28b2c6d976f3a5aa81def8364c36,hash
209,/FISIA/SETTINGEXTENDED,SETTINGEXTENDED,FISIA,524,330f0f72ed2879062d7accd6335b71c3,hash
210,/PERN/RETAILPRODUCT2ITEMMAPPING,RETAILPRODUCT2ITEMMAPPING,PERN,940,333f14b19c8a2754d4e28e7f88a81da8,hash
211,/FALAPE/LIGHTBUZZERCONFIG,LIGHTBUZZERCONFIG,FALAPE,459,33728425062b773051b7cda48731d7d4,hash
212,/FALACO/LOCATION,LOCATION,FALACO,412,33a040f7932b46e0dd51bd259b5edb6c,hash
213,/MOJIXD/THINGTYPECRF,THINGTYPECRF,MOJIXD,784,33bcef48efcdd8bbe77ad1bfa93da41a,hash
214,/CHIP/PRINTER,PRINTER,CHIP,205,342bd2796fec26750829c607ae735ccb,hash
215,/TOSCA/RULE,RULE,TOSCA,1117,3432ddd6be0a19787744de7d48fe6b7a,hash
216,/FALAPE/CONTENT,CONTENT,FALAPE,463,345a1497cfa3fd88c78e40fb88c9d662,hash
217,/PE/ITEMSTATUSESLIFECYCLE,ITEMSTATUSESLIFECYCLE,PE,894,353acb3276546cea45d132fcebcd234a,hash
218,/FISIA/DISPOSITION,DISPOSITION,FISIA,491,356b8dc8909a99568d5e80acb7f868c5,hash
219,/CELINE/POECOMMANDANDCONTROL,POECOMMANDANDCONTROL,CELINE,101,35aa36cf46bdbfdfa2a4c6df964bf7a4,hash
220,/CELINE/DD_SHELFSTATUS,DD_SHELFSTATUS,CELINE,63,35fc02982989f037fbf22969b294f0ee,hash
221,/FISIA/PRINTER,PRINTER,FISIA,517,363ecb3b54bb23815e96896caf6cd069,hash
222,/CENT/EPCSEQUENCETHING,EPCSEQUENCETHING,CENT,114,366ecd0aafeb4616d25dfea597db3a92,hash
223,/FALABELLAPE/SALES,SALES,FALABELLAPE,363,36c6ae1240e19bf4c5d4c7db59c02936,hash
224,/CELINE/TAGCOMMISSIONAPPCONFIG,TAGCOMMISSIONAPPCONFIG,CELINE,96,36c8615cc64ada40de3911d98ddb44ff,hash
225,/CENT/WEBVIEW_UPDATEINVENTORY,WEBVIEW_UPDATEINVENTORY,CENT,139,380edc8c814e7184516431fbd0e2398c,hash
226,/BEWI/REFERENCELIST,REFERENCELIST,BEWI,30,3891148166d80e8cafc6607d7b9d78df,hash
227,/CENT/READERCONFIGURATION,READERCONFIGURATION,CENT,131,389a9ba7d3a0af273cd78115bb5281da,hash
228,/PE/PRINTER,PRINTER,PE,898,38b434590f747fe7552384d71d6d39d7,hash
229,/MOJIXB/CATEGORY,CATEGORY,MOJIXB,709,391878f47d0d2d67e37befff25d83d5a,hash
230,/MOJIXD/ITEMSTATUSESLIFECYCLE,ITEMSTATUSESLIFECYCLE,MOJIXD,809,396f4291e109234e068d241f3910e02e,hash
231,/SHOW/STORE,STORE,SHOW,1040,39909126a557b5698988105e9b3ebe0b,hash
232,/PE/UNASSOCIATEDCONFIGURATION,UNASSOCIATEDCONFIGURATION,PE,921,39be47fea799d848859765ed11703334,hash
233,/TOSCA/DAILYSTATS,DAILYSTATS,TOSCA,1104,39fa08fa397b6b35a99044851a93fc6e,hash
234,/FALACO/CONTENT,CONTENT,FALACO,411,3a16ded899be92f523680e08f2dd9d8b,hash
235,/FISIA/ITEMSTATUSESLIFECYCLE,ITEMSTATUSESLIFECYCLE,FISIA,533,3a172771221525281526fa4dfaafb0ae,hash
236,/FALAPE/DD_SHELFSTATUS,DD_SHELFSTATUS,FALAPE,446,3a3b57316355b3160b40b046eede3f43,hash
237,/MOJIX/CYCLECOUNTCONFIGURATION,CYCLECOUNTCONFIGURATION,MOJIX,599,3a4973efd639c69fa53bb51d00d989c1,hash
238,/MOJIXQA/SALES,SALES,MOJIXQA,847,3a6e751698356d7a7ba37c32565fe65a,hash
239,/SHOW/CATEGORY,CATEGORY,SHOW,1075,3a7c6eccffd31c9353a0af6c93f1250a,hash
240,/CSU/EPCSEQUENCETHING,EPCSEQUENCETHING,CSU,237,3ad44abd7c41ccaf3b6efc607a899b74,hash
241,/TOSCA/STOCK,STOCK,TOSCA,1114,3b1835fb94039ae45c376af9bef54fae,hash
